experience,country,education,languages,frameworks,company_size,salary_usd
34,Germany,Masters,"Rust, JavaScript","Vue, ASP.NET",201-1000,172292
9,UK,Masters,"C#, JavaScript","Ruby on Rails, Spring",201-1000,82311
8,USA,Some College,"C++, Go","Vue, React",5000+,109637
29,USA,Masters,"C++, Ruby","Spring, Angular",11-50,214386
7,USA,Bachelors,"C#, Rust","React, Express",1-10,107584
13,USA,Bachelors,"Java, C++","React, ASP.NET",201-1000,121148
31,UK,Bachelors,"Python, Rust","Flask, Angular",51-200,157919
16,USA,Masters,"Go, Ruby","Angular, Angular",201-1000,155283
11,USA,Masters,"Rust, C#","Laravel, Vue",11-50,114780
27,Canada,Bachelors,"Python, Swift","ASP.NET, Ruby on Rails",5000+,139982
39,India,High School,"C++, Swift","Express, React",1-10,109902
18,USA,Masters,"JavaScript, C#","Laravel, ASP.NET",11-50,124517
2,USA,Bachelors,"Java, Rust","ASP.NET, Ruby on Rails",1001-5000,112299
25,India,Masters,"C#, C++","Ruby on Rails, Flask",5000+,96139
29,USA,Bachelors,"PHP, PHP","Flask, Ruby on Rails",11-50,171332
24,USA,Bachelors,"Python, C#","Express, ASP.NET",201-1000,193452
8,Germany,Masters,"PHP, C++","Laravel, Laravel",201-1000,78403
11,USA,Bachelors,"Python, Ruby","React, Angular",201-1000,119559
5,Canada,Bachelors,"Java, PHP","Ruby on Rails, Django",5000+,106531
31,Germany,Masters,"JavaScript, Java","Ruby on Rails, Ruby on Rails",51-200,166325
32,Germany,Bachelors,"Rust, C#","Flask, React",51-200,169050
29,Germany,Masters,"Ruby, Java","Django, Laravel",5000+,177714
1,France,Masters,"PHP, PHP","Express, ASP.NET",51-200,66540
38,Canada,Bachelors,"C++, Java","Express, React",5000+,220782
18,USA,Masters,"Swift, C++","Laravel, ASP.NET",1001-5000,128352
20,Canada,Bachelors,"Rust, C#","Vue, ASP.NET",1-10,119171
22,USA,Bachelors,"C++, Python","Express, ASP.NET",201-1000,154795
38,Japan,Bachelors,"C#, PHP","Angular, Laravel",1001-5000,137458
38,USA,Masters,"Rust, Go","ASP.NET, Django",5000+,201824
12,USA,Bachelors,"Python, PHP","Laravel, Django",5000+,143826
14,USA,Bachelors,"PHP, Python","Flask, Vue",1-10,157976
24,USA,High School,"C++, Java","Ruby on Rails, Flask",1001-5000,163781
24,USA,Masters,"Ruby, Go","Django, Ruby on Rails",11-50,199125
10,Germany,Bachelors,"Rust, C++","Flask, Laravel",11-50,80213
20,Australia,Bachelors,"Ruby, Rust","ASP.NET, Django",5000+,104779
7,USA,Bachelors,"Java, Rust","Django, Angular",11-50,128384
40,India,Some College,"Ruby, Swift","Flask, Flask",201-1000,153995
32,USA,Bachelors,"JavaScript, JavaScript","Spring, ASP.NET",1001-5000,168318
38,India,Bachelors,"Java, Ruby","React, Django",51-200,147029
14,USA,Bachelors,"C++, Rust","Ruby on Rails, React",5000+,171315
25,USA,High School,"Go, Java","Flask, Laravel",1-10,190794
8,Germany,Some College,"Python, PHP","Django, React",5000+,97645
11,Canada,PhD,"Python, Go","Express, Ruby on Rails",201-1000,123045
18,India,Bachelors,"C++, Python","Django, Ruby on Rails",201-1000,77232
19,Canada,Bachelors,"Rust, JavaScript","Express, Laravel",201-1000,138342
27,UK,High School,"JavaScript, Python","Laravel, Ruby on Rails",201-1000,122496
14,Canada,Some College,"Python, PHP","Flask, Flask",11-50,101830
14,USA,High School,"JavaScript, JavaScript","Angular, Ruby on Rails",1001-5000,121512
1,USA,PhD,"C++, Rust","ASP.NET, React",201-1000,121009
0,India,Bachelors,"Go, C#","React, Ruby on Rails",1001-5000,14246
23,India,Bachelors,"Python, C++","Spring, Django",5000+,86776
24,Australia,Bachelors,"C#, Swift","Express, Express",1001-5000,140459
11,Canada,Bachelors,"JavaScript, Go","Laravel, Express",11-50,110597
17,USA,Bachelors,"Swift, Rust","Spring, Spring",1001-5000,166979
40,USA,Masters,"Ruby, Rust","React, ASP.NET",51-200,182141
31,USA,Bachelors,"Python, C++","Django, ASP.NET",5000+,203336
11,France,Bachelors,"PHP, Go","Vue, Express",51-200,97202
18,India,Some College,"JavaScript, Swift","Laravel, Django",51-200,81560
11,USA,Masters,"C#, Python","Spring, Spring",5000+,134566
29,Japan,Bachelors,"C++, PHP","React, ASP.NET",11-50,147010
33,USA,Bachelors,"Ruby, C#","React, Express",1001-5000,203448
26,USA,Bachelors,"Rust, Rust","Vue, Django",5000+,152594
29,Japan,Bachelors,"Python, C#","Django, React",1-10,112494
29,Canada,Bachelors,"Rust, Go","Angular, Django",201-1000,151207
2,USA,Masters,"C++, Java","Ruby on Rails, ASP.NET",5000+,130921
39,USA,Bachelors,"Ruby, Swift","Spring, Express",1001-5000,240744
16,India,PhD,"Swift, PHP","Flask, Vue",1001-5000,73969
2,USA,Masters,"Java, Java","Spring, Spring",5000+,105236
4,UK,Bachelors,"C++, C#","Flask, ASP.NET",51-200,74556
17,India,Some College,"C#, C++","Express, Flask",51-200,59362
36,France,Bachelors,"PHP, PHP","Flask, Django",51-200,139690
31,USA,Bachelors,"Java, Swift","Flask, Django",5000+,218016
32,UK,Bachelors,"Swift, Swift","ASP.NET, Angular",201-1000,174386
5,Japan,High School,"JavaScript, Java","Vue, Django",1001-5000,72261
19,UK,Bachelors,"Python, Swift","Angular, React",1-10,100622
3,USA,High School,"Python, PHP","Django, Flask",1-10,83128
21,USA,Masters,"PHP, Rust","React, Express",51-200,173971
16,Brazil,Bachelors,"Rust, Rust","Django, Spring",1-10,108370
0,Canada,Bachelors,"Swift, C#","Angular, Spring",201-1000,69221
4,USA,Bachelors,"PHP, PHP","Angular, ASP.NET",5000+,107081
39,USA,Bachelors,"Swift, C++","Vue, Ruby on Rails",11-50,206913
11,UK,Masters,"Python, Java","Spring, ASP.NET",1001-5000,120967
8,Singapore,Bachelors,"Java, PHP","Django, Django",51-200,63872
8,Japan,Masters,"Go, Rust","ASP.NET, Ruby on Rails",51-200,75821
17,Singapore,Masters,"JavaScript, Python","Ruby on Rails, Angular",1-10,98897
38,India,Bachelors,"Python, Rust","Flask, Angular",1-10,142848
38,Canada,Bachelors,"JavaScript, Swift","Laravel, Spring",1-10,193931
26,USA,Masters,"Java, Go","Angular, Express",51-200,166204
13,Germany,Bachelors,"C++, Python","Ruby on Rails, Vue",1-10,106754
20,USA,Masters,"Ruby, Go","ASP.NET, ASP.NET",11-50,191459
9,Germany,PhD,"Go, Go","Express, Django",11-50,111663
16,Canada,Masters,"Rust, PHP","Ruby on Rails, Flask",11-50,111019
20,Canada,Bachelors,"Go, Java","Vue, Vue",1001-5000,96809
33,Brazil,Bachelors,"Java, C++","React, Express",201-1000,128099
1,USA,Bachelors,"Swift, C++","ASP.NET, Angular",1-10,83478
40,Canada,Bachelors,"C++, Java","Laravel, Ruby on Rails",1-10,145363
26,USA,Bachelors,"C++, PHP","ASP.NET, Ruby on Rails",1001-5000,176354
8,USA,High School,"Go, JavaScript","Django, Vue",1001-5000,114491
25,USA,PhD,"Rust, Go","Django, React",1-10,219358
29,Germany,Bachelors,"Python, Python","Ruby on Rails, Flask",51-200,161802
31,France,PhD,"Java, Ruby","Laravel, Vue",11-50,181463
23,USA,Masters,"Java, C#","Laravel, Django",5000+,207360
0,Singapore,Bachelors,"C++, JavaScript","Spring, Spring",1001-5000,47465
33,Canada,Bachelors,"Java, Rust","Angular, Laravel",1-10,188880
33,USA,Bachelors,"Java, Go","Django, Angular",1-10,166611
19,USA,Some College,"Ruby, Java","Ruby on Rails, Vue",201-1000,130133
18,UK,Bachelors,"Go, Go","React, React",5000+,123329
36,USA,Bachelors,"Java, Rust","Django, Spring",1001-5000,185880
16,Brazil,Bachelors,"Rust, PHP","Vue, Vue",201-1000,94359
36,Canada,Bachelors,"Python, C++","Express, Django",1001-5000,137072
24,UK,Masters,"JavaScript, C++","Express, React",201-1000,160580
8,USA,Bachelors,"Python, PHP","Laravel, Ruby on Rails",1001-5000,111238
4,USA,Bachelors,"PHP, C++","Express, Angular",11-50,102781
5,Japan,Bachelors,"Swift, C++","Flask, Flask",11-50,75160
21,USA,Masters,"Java, Swift","ASP.NET, Express",1001-5000,140045
4,USA,Bachelors,"Java, C++","ASP.NET, Express",11-50,81848
18,USA,PhD,"C#, Python","Spring, Angular",5000+,147269
26,USA,Bachelors,"C++, Java","React, Angular",201-1000,181991
24,Germany,Bachelors,"Ruby, PHP","Angular, React",201-1000,142461
37,Singapore,Bachelors,"Go, Rust","Angular, React",11-50,168334
38,India,Bachelors,"Python, Rust","Spring, Spring",201-1000,146030
11,Canada,Bachelors,"PHP, Swift","ASP.NET, Ruby on Rails",51-200,74610
26,USA,Bachelors,"JavaScript, Python","Angular, Spring",51-200,162059
2,Australia,Masters,"PHP, C++","Ruby on Rails, React",1-10,70930
25,USA,Masters,"Python, Python","Express, Laravel",11-50,181367
10,USA,Masters,"JavaScript, C++","Ruby on Rails, Spring",201-1000,114051
9,USA,Bachelors,"C#, PHP","Flask, ASP.NET",11-50,136757
22,Australia,Masters,"Java, C++","Flask, Laravel",201-1000,131022
